Name of Food Stuff,Energy,Moisture,Protein,Fat,Minerals,Fibre,Carbos,Calcium,Phosphorous,Iron
,(Kcals),(g),(g),(g),(g),(g),(g),(mg),(mg),(mg)
,,,,,,,,,,
common foods,,,,,,,,,,
,,,,,,,,,,
*Nutritive value / 100 gms of raw ingredients,,,,,,,,,,
Mung ki dal with Voghar,"Mung dal, Oil 1tsp., Salt, Water",1 katori,149,18,7.4,5.2,0,,,
Masoor ki dal,"Masoor dal, Oil 1 tsp., Corriander leaves, Green chillies, Salt, Water",1 katori,149,18,7.6,5.2,0,,,
Samosa,"Maida, Potato, Oil 2 tsp.s, Salt",1 no.,248,21,2.3,18.1,0,,,
Sev,"Besan, Oil 2  tsp.s",1 katori,374,24,8.3,27.2,0,,,
Methi muthia,"Methi, Wheat flour, Besan, Sugar, Oil 2 tsp.s, Salt",8 no.,188,10.4,3.7,13.8,0,,,
Potato wada,"Potato, Besan, Oil 1/2 tsp., Salt",1 no.,118,22,3.1,3.7,0,,,
French fries,"Potato, Oil 1 1/2 tsp.s",8-9 no.,140,16,1.1,8.1,0,,,
Bread slices,,2 no.,98,20.7,3.1,0.2,0.08,,,
Vegetable  -Sandwich,"Bread  slices, Butter, 1tsp.,  Green chutney, Tomato, Cucumber , Salt ",1 no. ,179,30,3.7,5.5,0.2,,,
Idli,"Parboiled rice, Urad dal, Salt, Oil for greasing",1 no.,69,15,1.2,0.2,0,,,
Dosa,"Rice, Urad dal, Poha, Ghee 1 tsp., Salt",1 no.,145,21.5,2.8,5.2,0,,,
Green chutney,"Corriander, Coconut, Lemon juice, Green chillies, Sugar, Salt",1 Tb sp,34,5.7,0.2,1.2,0,,,
Sambhaar,"Toovar dal, Tomato, Onion, Brinjal, Potato, Tamarind pulp, Sambhar masala, Oil 1 tsp., Salt",1 katori,200,27.2,8.9,5.9,0,,,
Upma,"Semolina(rawa), Green peas, Carrots, Green chillies, Oil 1 tsp., Salt",1 katori,129,18,2.4,5.2,0,,,
Pohe,"Rice flakes, Tomato, Lemon juice, Green Chilli, Oil 1 tsp.",1 katori,164,26,2.4,5.4,0,,,
Khatta dhokla,"Rice, Urad dal, Curd, Chilli-Ginger paste, Hing, Black pepper, Oil 1 tsp., Salt, Milk",1 serving,217,31,6.3,6.1,0,,,
Curd,-,1 bowl,234,10,8.6,13,0,,,
